State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Year,Year Code,Births,% of Total Births,Average Age of Mother (years),Standard Deviation for Average Age of Mother
Massachusetts,25,15-19 years,15-19,Unknown or Not Stated,Unk,2019,2019,20,0.00%,18.05,0.97
Massachusetts,25,15-19 years,15-19,Unknown or Not Stated,Unk,2020,2020,15,0.00%,17.8,1.28
Massachusetts,25,15-19 years,15-19,Unknown or Not Stated,Unk,2021,2021,13,0.00%,17.23,1.42
Massachusetts,25,15-19 years,15-19,Unknown or Not Stated,Unk,2022,2022,11,0.00%,18.18,0.94
Massachusetts,25,15-19 years,15-19,Unknown or Not Stated,Unk,2023,2023,12,0.00%,17.58,1.26
Massachusetts,25,20-24 years,20-24,8th grade or less,1,2018,2018,38,0.00%,21.95,1.45
Massachusetts,25,20-24 years,20-24,8th grade or less,1,2019,2019,42,0.00%,22.17,1.43
Massachusetts,25,20-24 years,20-24,8th grade or less,1,2020,2020,28,0.00%,22.18,1.44
Massachusetts,25,20-24 years,20-24,8th grade or less,1,2021,2021,28,0.00%,21.86,1.46
Massachusetts,25,20-24 years,20-24,8th grade or less,1,2022,2022,23,0.00%,22.22,1.44
Massachusetts,25,20-24 years,20-24,8th grade or less,1,2023,2023,16,0.00%,22.06,1.43
Massachusetts,25,20-24 years,20-24,9th through 12th grade with no diploma,2,2018,2018,499,0.00%,21.97,1.38
Massachusetts,25,20-24 years,20-24,9th through 12th grade with no diploma,2,2019,2019,484,0.00%,22.02,1.42
Massachusetts,25,20-24 years,20-24,9th through 12th grade with no diploma,2,2020,2020,455,0.00%,21.87,1.38
Massachusetts,25,20-24 years,20-24,9th through 12th grade with no diploma,2,2021,2021,403,0.00%,22.04,1.4
Massachusetts,25,20-24 years,20-24,9th through 12th grade with no diploma,2,2022,2022,372,0.00%,21.91,1.42
Massachusetts,25,20-24 years,20-24,9th through 12th grade with no diploma,2,2023,2023,341,0.00%,21.98,1.43
Massachusetts,25,20-24 years,20-24,High school graduate or GED completed,3,2018,2018,1938,0.01%,22.07,1.41
Massachusetts,25,20-24 years,20-24,High school graduate or GED completed,3,2019,2019,1883,0.01%,22.06,1.39
Massachusetts,25,20-24 years,20-24,High school graduate or GED completed,3,2020,2020,1829,0.01%,22.1,1.39
Massachusetts,25,20-24 years,20-24,High school graduate or GED completed,3,2021,2021,1849,0.01%,22.06,1.39
Massachusetts,25,20-24 years,20-24,High school graduate or GED completed,3,2022,2022,1774,0.01%,22.1,1.38
Massachusetts,25,20-24 years,20-24,High school graduate or GED completed,3,2023,2023,1577,0.01%,22.06,1.4
Massachusetts,25,20-24 years,20-24,"Some college credit, but not a degree",4,2018,2018,1778,0.01%,22.42,1.32
Massachusetts,25,20-24 years,20-24,"Some college credit, but not a degree",4,2019,2019,1595,0.01%,22.42,1.33
Massachusetts,25,20-24 years,20-24,"Some college credit, but not a degree",4,2020,2020,1425,0.01%,22.34,1.33
Massachusetts,25,20-24 years,20-24,"Some college credit, but not a degree",4,2021,2021,1312,0.01%,22.38,1.36
Massachusetts,25,20-24 years,20-24,"Some college credit, but not a degree",4,2022,2022,1116,0.01%,22.47,1.34
Massachusetts,25,20-24 years,20-24,"Some college credit, but not a degree",4,2023,2023,1048,0.01%,22.51,1.33
Massachusetts,25,20-24 years,20-24,"Associate degree (AA, AS)",5,2018,2018,222,0.00%,22.92,1.2
Massachusetts,25,20-24 years,20-24,"Associate degree (AA, AS)",5,2019,2019,238,0.00%,23.01,1.12
Massachusetts,25,20-24 years,20-24,"Associate degree (AA, AS)",5,2020,2020,172,0.00%,22.98,1.07
Massachusetts,25,20-24 years,20-24,"Associate degree (AA, AS)",5,2021,2021,209,0.00%,22.87,1.19
Massachusetts,25,20-24 years,20-24,"Associate degree (AA, AS)",5,2022,2022,177,0.00%,22.82,1.23
Massachusetts,25,20-24 years,20-24,"Associate degree (AA, AS)",5,2023,2023,158,0.00%,23.04,1.12
Massachusetts,25,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2018,2018,278,0.00%,23.27,0.84
Massachusetts,25,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2019,2019,291,0.00%,23.33,0.82
Massachusetts,25,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2020,2020,273,0.00%,23.32,0.85
Massachusetts,25,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2021,2021,305,0.00%,23.35,0.82
Massachusetts,25,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2022,2022,292,0.00%,23.21,0.87
Massachusetts,25,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,2023,2023,289,0.00%,23.37,0.84
Massachusetts,25,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,23,0.00%,23.48,0.58
Massachusetts,25,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,17,0.00%,23.47,0.98
Massachusetts,25,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,18,0.00%,23.61,0.59
Massachusetts,25,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,28,0.00%,23.75,0.51
Massachusetts,25,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,16,0.00%,23.38,1.05
Massachusetts,25,20-24 years,20-24,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,20,0.00%,23.7,0.64
Massachusetts,25,20-24 years,20-24,Unknown or Not Stated,Unk,2018,2018,74,0.00%,22.32,1.35
Massachusetts,25,20-24 years,20-24,Unknown or Not Stated,Unk,2019,2019,79,0.00%,22.32,1.38
Massachusetts,25,20-24 years,20-24,Unknown or Not Stated,Unk,2020,2020,68,0.00%,22.62,1.21
Massachusetts,25,20-24 years,20-24,Unknown or Not Stated,Unk,2021,2021,63,0.00%,22.29,1.44
Massachusetts,25,20-24 years,20-24,Unknown or Not Stated,Unk,2022,2022,54,0.00%,22.61,1.37
Massachusetts,25,20-24 years,20-24,Unknown or Not Stated,Unk,2023,2023,68,0.00%,22.41,1.43
Massachusetts,25,25-29 years,25-29,8th grade or less,1,2018,2018,49,0.00%,27.24,1.39
Massachusetts,25,25-29 years,25-29,8th grade or less,1,2019,2019,37,0.00%,27.08,1.4
Massachusetts,25,25-29 years,25-29,8th grade or less,1,2020,2020,39,0.00%,26.54,1.41
Massachusetts,25,25-29 years,25-29,8th grade or less,1,2021,2021,20,0.00%,27.1,1.34
Massachusetts,25,25-29 years,25-29,8th grade or less,1,2022,2022,26,0.00%,27.15,1.26
Massachusetts,25,25-29 years,25-29,8th grade or less,1,2023,2023,15,0.00%,26.67,1.35
Massachusetts,25,25-29 years,25-29,9th through 12th grade with no diploma,2,2018,2018,457,0.00%,27.09,1.35
Massachusetts,25,25-29 years,25-29,9th through 12th grade with no diploma,2,2019,2019,435,0.00%,27,1.42
Massachusetts,25,25-29 years,25-29,9th through 12th grade with no diploma,2,2020,2020,415,0.00%,27.03,1.42
Massachusetts,25,25-29 years,25-29,9th through 12th grade with no diploma,2,2021,2021,348,0.00%,26.92,1.41
Massachusetts,25,25-29 years,25-29,9th through 12th grade with no diploma,2,2022,2022,302,0.00%,27.03,1.4
Massachusetts,25,25-29 years,25-29,9th through 12th grade with no diploma,2,2023,2023,287,0.00%,26.89,1.42
Massachusetts,25,25-29 years,25-29,High school graduate or GED completed,3,2018,2018,1946,0.01%,26.89,1.41
Massachusetts,25,25-29 years,25-29,High school graduate or GED completed,3,2019,2019,1958,0.01%,26.93,1.44
Massachusetts,25,25-29 years,25-29,High school graduate or GED completed,3,2020,2020,1916,0.01%,26.93,1.39
Massachusetts,25,25-29 years,25-29,High school graduate or GED completed,3,2021,2021,1939,0.01%,26.99,1.39
Massachusetts,25,25-29 years,25-29,High school graduate or GED completed,3,2022,2022,1823,0.01%,27.01,1.39
Massachusetts,25,25-29 years,25-29,High school graduate or GED completed,3,2023,2023,1750,0.01%,26.94,1.42
Massachusetts,25,25-29 years,25-29,"Some college credit, but not a degree",4,2018,2018,2963,0.02%,27.04,1.39
Massachusetts,25,25-29 years,25-29,"Some college credit, but not a degree",4,2019,2019,2840,0.02%,27.08,1.39
Massachusetts,25,25-29 years,25-29,"Some college credit, but not a degree",4,2020,2020,2500,0.01%,27.12,1.41
Massachusetts,25,25-29 years,25-29,"Some college credit, but not a degree",4,2021,2021,2446,0.01%,27.17,1.38
Massachusetts,25,25-29 years,25-29,"Some college credit, but not a degree",4,2022,2022,2185,0.01%,27.18,1.4
Massachusetts,25,25-29 years,25-29,"Some college credit, but not a degree",4,2023,2023,1994,0.01%,27.15,1.39
Massachusetts,25,25-29 years,25-29,"Associate degree (AA, AS)",5,2018,2018,884,0.01%,27.4,1.32
Massachusetts,25,25-29 years,25-29,"Associate degree (AA, AS)",5,2019,2019,875,0.01%,27.35,1.4
Massachusetts,25,25-29 years,25-29,"Associate degree (AA, AS)",5,2020,2020,792,0.00%,27.43,1.38
Massachusetts,25,25-29 years,25-29,"Associate degree (AA, AS)",5,2021,2021,794,0.00%,27.37,1.36
Massachusetts,25,25-29 years,25-29,"Associate degree (AA, AS)",5,2022,2022,744,0.00%,27.38,1.36
Massachusetts,25,25-29 years,25-29,"Associate degree (AA, AS)",5,2023,2023,682,0.00%,27.37,1.38
Massachusetts,25,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2018,2018,2672,0.02%,27.63,1.32
Massachusetts,25,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2019,2019,2575,0.02%,27.65,1.32
Massachusetts,25,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2020,2020,2394,0.01%,27.63,1.33
Massachusetts,25,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2021,2021,2531,0.01%,27.64,1.31
Massachusetts,25,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2022,2022,2433,0.01%,27.59,1.33
Massachusetts,25,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,2023,2023,2309,0.01%,27.65,1.29
Massachusetts,25,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,1128,0.01%,28.1,1.12
Massachusetts,25,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,1097,0.01%,28.04,1.12
Massachusetts,25,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,963,0.01%,28.06,1.11
Massachusetts,25,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,1077,0.01%,28.02,1.13
Massachusetts,25,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,997,0.01%,27.98,1.13
Massachusetts,25,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,1057,0.01%,28.06,1.11
Massachusetts,25,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,166,0.00%,28.28,0.94
Massachusetts,25,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,151,0.00%,28.22,0.96
Massachusetts,25,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,152,0.00%,28.39,0.95
Massachusetts,25,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,149,0.00%,28.24,1
Massachusetts,25,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,147,0.00%,28.27,0.98
Massachusetts,25,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,164,0.00%,28.24,1.01
Massachusetts,25,25-29 years,25-29,Unknown or Not Stated,Unk,2018,2018,213,0.00%,27.53,1.31
Massachusetts,25,25-29 years,25-29,Unknown or Not Stated,Unk,2019,2019,188,0.00%,27.43,1.41
Massachusetts,25,25-29 years,25-29,Unknown or Not Stated,Unk,2020,2020,187,0.00%,27.49,1.35
Massachusetts,25,25-29 years,25-29,Unknown or Not Stated,Unk,2021,2021,172,0.00%,27.23,1.42
Massachusetts,25,25-29 years,25-29,Unknown or Not Stated,Unk,2022,2022,155,0.00%,27.26,1.38
Massachusetts,25,25-29 years,25-29,Unknown or Not Stated,Unk,2023,2023,139,0.00%,27.27,1.41
Massachusetts,25,30-34 years,30-34,8th grade or less,1,2018,2018,41,0.00%,32.07,1.35
Massachusetts,25,30-34 years,30-34,8th grade or less,1,2019,2019,34,0.00%,32.06,1.63
Massachusetts,25,30-34 years,30-34,8th grade or less,1,2020,2020,33,0.00%,31.85,1.5
Massachusetts,25,30-34 years,30-34,8th grade or less,1,2021,2021,36,0.00%,32.11,1.59
Massachusetts,25,30-34 years,30-34,8th grade or less,1,2022,2022,27,0.00%,31.85,1.33
Massachusetts,25,30-34 years,30-34,8th grade or less,1,2023,2023,21,0.00%,31.48,1.3
Massachusetts,25,30-34 years,30-34,9th through 12th grade with no diploma,2,2018,2018,299,0.00%,31.68,1.34
Massachusetts,25,30-34 years,30-34,9th through 12th grade with no diploma,2,2019,2019,340,0.00%,31.67,1.26
Massachusetts,25,30-34 years,30-34,9th through 12th grade with no diploma,2,2020,2020,296,0.00%,31.8,1.34
Massachusetts,25,30-34 years,30-34,9th through 12th grade with no diploma,2,2021,2021,262,0.00%,31.74,1.37
Massachusetts,25,30-34 years,30-34,9th through 12th grade with no diploma,2,2022,2022,286,0.00%,31.82,1.36
Massachusetts,25,30-34 years,30-34,9th through 12th grade with no diploma,2,2023,2023,219,0.00%,31.68,1.34
Massachusetts,25,30-34 years,30-34,High school graduate or GED completed,3,2018,2018,1328,0.01%,31.72,1.37
Massachusetts,25,30-34 years,30-34,High school graduate or GED completed,3,2019,2019,1362,0.01%,31.69,1.38
Massachusetts,25,30-34 years,30-34,High school graduate or GED completed,3,2020,2020,1478,0.01%,31.71,1.38
Massachusetts,25,30-34 years,30-34,High school graduate or GED completed,3,2021,2021,1411,0.01%,31.8,1.4
Massachusetts,25,30-34 years,30-34,High school graduate or GED completed,3,2022,2022,1462,0.01%,31.77,1.4
Massachusetts,25,30-34 years,30-34,High school graduate or GED completed,3,2023,2023,1397,0.01%,31.84,1.4
Massachusetts,25,30-34 years,30-34,"Some college credit, but not a degree",4,2018,2018,2435,0.01%,31.8,1.38
Massachusetts,25,30-34 years,30-34,"Some college credit, but not a degree",4,2019,2019,2472,0.01%,31.81,1.41
Massachusetts,25,30-34 years,30-34,"Some college credit, but not a degree",4,2020,2020,2366,0.01%,31.82,1.42
Massachusetts,25,30-34 years,30-34,"Some college credit, but not a degree",4,2021,2021,2486,0.01%,31.83,1.37
Massachusetts,25,30-34 years,30-34,"Some college credit, but not a degree",4,2022,2022,2354,0.01%,31.88,1.4
Massachusetts,25,30-34 years,30-34,"Some college credit, but not a degree",4,2023,2023,2174,0.01%,31.93,1.38
Massachusetts,25,30-34 years,30-34,"Associate degree (AA, AS)",5,2018,2018,1105,0.01%,31.9,1.4
Massachusetts,25,30-34 years,30-34,"Associate degree (AA, AS)",5,2019,2019,1103,0.01%,31.84,1.35
Massachusetts,25,30-34 years,30-34,"Associate degree (AA, AS)",5,2020,2020,1077,0.01%,31.91,1.41
Massachusetts,25,30-34 years,30-34,"Associate degree (AA, AS)",5,2021,2021,1162,0.01%,31.89,1.36
Massachusetts,25,30-34 years,30-34,"Associate degree (AA, AS)",5,2022,2022,1108,0.01%,32,1.39
Massachusetts,25,30-34 years,30-34,"Associate degree (AA, AS)",5,2023,2023,961,0.01%,32.05,1.37
Massachusetts,25,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2018,2018,6030,0.04%,32,1.38
Massachusetts,25,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2019,2019,6139,0.04%,32.06,1.37
Massachusetts,25,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2020,2020,6183,0.04%,32.02,1.37
Massachusetts,25,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2021,2021,7076,0.04%,32.05,1.36
Massachusetts,25,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2022,2022,6488,0.04%,32.1,1.35
Massachusetts,25,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2023,2023,6506,0.04%,32.14,1.37
Massachusetts,25,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,4890,0.03%,32.12,1.37
Massachusetts,25,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,4961,0.03%,32.14,1.37
Massachusetts,25,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,4806,0.03%,32.17,1.35
Massachusetts,25,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,5376,0.03%,32.19,1.34
Massachusetts,25,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,4924,0.03%,32.23,1.36
Massachusetts,25,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,4860,0.03%,32.24,1.36
Massachusetts,25,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,1239,0.01%,32.36,1.33
Massachusetts,25,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,1274,0.01%,32.31,1.35
Massachusetts,25,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,1216,0.01%,32.36,1.3
Massachusetts,25,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,1323,0.01%,32.33,1.35
Massachusetts,25,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,1291,0.01%,32.44,1.3
Massachusetts,25,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,1232,0.01%,32.36,1.34
Massachusetts,25,30-34 years,30-34,Unknown or Not Stated,Unk,2018,2018,391,0.00%,31.91,1.39
Massachusetts,25,30-34 years,30-34,Unknown or Not Stated,Unk,2019,2019,376,0.00%,32.05,1.39
Massachusetts,25,30-34 years,30-34,Unknown or Not Stated,Unk,2020,2020,373,0.00%,32.04,1.37
Massachusetts,25,30-34 years,30-34,Unknown or Not Stated,Unk,2021,2021,288,0.00%,32.16,1.34
Massachusetts,25,30-34 years,30-34,Unknown or Not Stated,Unk,2022,2022,332,0.00%,31.99,1.39
Massachusetts,25,30-34 years,30-34,Unknown or Not Stated,Unk,2023,2023,347,0.00%,32.22,1.39
Massachusetts,25,35-39 years,35-39,8th grade or less,1,2018,2018,14,0.00%,36.93,1.44
Massachusetts,25,35-39 years,35-39,8th grade or less,1,2019,2019,18,0.00%,37.22,1.27
Massachusetts,25,35-39 years,35-39,8th grade or less,1,2021,2021,15,0.00%,36.2,0.98
Massachusetts,25,35-39 years,35-39,8th grade or less,1,2022,2022,21,0.00%,36.76,1.44
Massachusetts,25,35-39 years,35-39,8th grade or less,1,2023,2023,11,0.00%,35.73,0.75
Massachusetts,25,35-39 years,35-39,9th through 12th grade with no diploma,2,2018,2018,142,0.00%,36.67,1.39
Massachusetts,25,35-39 years,35-39,9th through 12th grade with no diploma,2,2019,2019,114,0.00%,36.42,1.38
Massachusetts,25,35-39 years,35-39,9th through 12th grade with no diploma,2,2020,2020,136,0.00%,36.56,1.43
Massachusetts,25,35-39 years,35-39,9th through 12th grade with no diploma,2,2021,2021,145,0.00%,36.43,1.33
Massachusetts,25,35-39 years,35-39,9th through 12th grade with no diploma,2,2022,2022,146,0.00%,36.56,1.36
Massachusetts,25,35-39 years,35-39,9th through 12th grade with no diploma,2,2023,2023,155,0.00%,36.38,1.29
Massachusetts,25,35-39 years,35-39,High school graduate or GED completed,3,2018,2018,619,0.00%,36.57,1.36
Massachusetts,25,35-39 years,35-39,High school graduate or GED completed,3,2019,2019,614,0.00%,36.58,1.35
Massachusetts,25,35-39 years,35-39,High school graduate or GED completed,3,2020,2020,607,0.00%,36.58,1.37
Massachusetts,25,35-39 years,35-39,High school graduate or GED completed,3,2021,2021,640,0.00%,36.57,1.38
Massachusetts,25,35-39 years,35-39,High school graduate or GED completed,3,2022,2022,592,0.00%,36.52,1.36
Massachusetts,25,35-39 years,35-39,High school graduate or GED completed,3,2023,2023,631,0.00%,36.5,1.37
Massachusetts,25,35-39 years,35-39,"Some college credit, but not a degree",4,2018,2018,1066,0.01%,36.53,1.35
Massachusetts,25,35-39 years,35-39,"Some college credit, but not a degree",4,2019,2019,1155,0.01%,36.5,1.35
Massachusetts,25,35-39 years,35-39,"Some college credit, but not a degree",4,2020,2020,1098,0.01%,36.63,1.37
Massachusetts,25,35-39 years,35-39,"Some college credit, but not a degree",4,2021,2021,1183,0.01%,36.56,1.36
Massachusetts,25,35-39 years,35-39,"Some college credit, but not a degree",4,2022,2022,1066,0.01%,36.54,1.34
Massachusetts,25,35-39 years,35-39,"Some college credit, but not a degree",4,2023,2023,1089,0.01%,36.58,1.33
Massachusetts,25,35-39 years,35-39,"Associate degree (AA, AS)",5,2018,2018,548,0.00%,36.55,1.34
Massachusetts,25,35-39 years,35-39,"Associate degree (AA, AS)",5,2019,2019,557,0.00%,36.56,1.35
Massachusetts,25,35-39 years,35-39,"Associate degree (AA, AS)",5,2020,2020,568,0.00%,36.6,1.38
Massachusetts,25,35-39 years,35-39,"Associate degree (AA, AS)",5,2021,2021,627,0.00%,36.53,1.35
Massachusetts,25,35-39 years,35-39,"Associate degree (AA, AS)",5,2022,2022,586,0.00%,36.64,1.38
Massachusetts,25,35-39 years,35-39,"Associate degree (AA, AS)",5,2023,2023,583,0.00%,36.51,1.33
Massachusetts,25,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2018,2018,3202,0.02%,36.46,1.32
Massachusetts,25,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2019,2019,3286,0.02%,36.48,1.34
Massachusetts,25,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2020,2020,3277,0.02%,36.46,1.33
Massachusetts,25,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2021,2021,3865,0.02%,36.45,1.32
Massachusetts,25,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2022,2022,3723,0.02%,36.46,1.33
Massachusetts,25,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,2023,2023,3640,0.02%,36.48,1.33
Massachusetts,25,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,2996,0.02%,36.53,1.35
Massachusetts,25,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,3044,0.02%,36.51,1.33
Massachusetts,25,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,3007,0.02%,36.52,1.34
Massachusetts,25,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,3426,0.02%,36.51,1.33
Massachusetts,25,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,3459,0.02%,36.55,1.34
Massachusetts,25,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,3306,0.02%,36.54,1.33
Massachusetts,25,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,993,0.01%,36.52,1.32
Massachusetts,25,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,1009,0.01%,36.54,1.35
Massachusetts,25,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,1026,0.01%,36.52,1.34
Massachusetts,25,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,1161,0.01%,36.51,1.36
Massachusetts,25,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,1194,0.01%,36.57,1.32
Massachusetts,25,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,1155,0.01%,36.64,1.38
Massachusetts,25,35-39 years,35-39,Unknown or Not Stated,Unk,2018,2018,214,0.00%,36.57,1.35
Massachusetts,25,35-39 years,35-39,Unknown or Not Stated,Unk,2019,2019,259,0.00%,36.64,1.34
Massachusetts,25,35-39 years,35-39,Unknown or Not Stated,Unk,2020,2020,218,0.00%,36.77,1.43
Massachusetts,25,35-39 years,35-39,Unknown or Not Stated,Unk,2021,2021,194,0.00%,36.73,1.36
Massachusetts,25,35-39 years,35-39,Unknown or Not Stated,Unk,2022,2022,218,0.00%,36.58,1.37
Massachusetts,25,35-39 years,35-39,Unknown or Not Stated,Unk,2023,2023,249,0.00%,36.35,1.29
Massachusetts,25,40-44 years,40-44,9th through 12th grade with no diploma,2,2018,2018,29,0.00%,41.34,1.35
Massachusetts,25,40-44 years,40-44,9th through 12th grade with no diploma,2,2019,2019,23,0.00%,41.09,1.21
Massachusetts,25,40-44 years,40-44,9th through 12th grade with no diploma,2,2020,2020,13,0.00%,41.15,1.23
Massachusetts,25,40-44 years,40-44,9th through 12th grade with no diploma,2,2021,2021,40,0.00%,41.1,1.11
Massachusetts,25,40-44 years,40-44,9th through 12th grade with no diploma,2,2022,2022,41,0.00%,41.12,0.97
Massachusetts,25,40-44 years,40-44,9th through 12th grade with no diploma,2,2023,2023,24,0.00%,41.21,1.12
Massachusetts,25,40-44 years,40-44,High school graduate or GED completed,3,2018,2018,114,0.00%,41.11,1.17
Massachusetts,25,40-44 years,40-44,High school graduate or GED completed,3,2019,2019,106,0.00%,41.15,1.32
Massachusetts,25,40-44 years,40-44,High school graduate or GED completed,3,2020,2020,116,0.00%,40.98,1.14
Massachusetts,25,40-44 years,40-44,High school graduate or GED completed,3,2021,2021,119,0.00%,41.05,1.11
Massachusetts,25,40-44 years,40-44,High school graduate or GED completed,3,2022,2022,125,0.00%,41.06,1.18
Massachusetts,25,40-44 years,40-44,High school graduate or GED completed,3,2023,2023,112,0.00%,41.02,1.13
Massachusetts,25,40-44 years,40-44,"Some college credit, but not a degree",4,2018,2018,247,0.00%,41.12,1.14
Massachusetts,25,40-44 years,40-44,"Some college credit, but not a degree",4,2019,2019,196,0.00%,41.19,1.18
Massachusetts,25,40-44 years,40-44,"Some college credit, but not a degree",4,2020,2020,212,0.00%,41.08,1.12
Massachusetts,25,40-44 years,40-44,"Some college credit, but not a degree",4,2021,2021,228,0.00%,41.17,1.21
Massachusetts,25,40-44 years,40-44,"Some college credit, but not a degree",4,2022,2022,205,0.00%,40.92,1.08
Massachusetts,25,40-44 years,40-44,"Some college credit, but not a degree",4,2023,2023,190,0.00%,41.02,1.24
Massachusetts,25,40-44 years,40-44,"Associate degree (AA, AS)",5,2018,2018,107,0.00%,41.13,1.23
