State of Residence,State of Residence Code,Age of Mother 9,Age of Mother 9 Code,Mother's Education,Mother's Education Code,Year,Year Code,Births,% of Total Births,Average Age of Mother (years),Standard Deviation for Average Age of Mother
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,2019,2019,1375,0.01%,31.67,1.41
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,2020,2020,1403,0.01%,31.75,1.39
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,2021,2021,1404,0.01%,31.67,1.36
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,2022,2022,1548,0.01%,31.76,1.39
Alabama,1,30-34 years,30-34,"Associate degree (AA, AS)",5,2023,2023,1490,0.01%,31.75,1.39
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2018,2018,3035,0.02%,31.8,1.39
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2019,2019,3088,0.02%,31.76,1.4
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2020,2020,3058,0.02%,31.75,1.38
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2021,2021,3182,0.02%,31.79,1.37
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2022,2022,3090,0.02%,31.83,1.38
Alabama,1,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,2023,2023,3101,0.02%,31.81,1.38
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2018,2018,1647,0.01%,31.86,1.41
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2019,2019,1698,0.01%,31.88,1.38
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2020,2020,1730,0.01%,31.9,1.41
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2021,2021,1924,0.01%,31.89,1.38
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2022,2022,1846,0.01%,31.91,1.36
Alabama,1,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2023,2023,1831,0.01%,31.93,1.4
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2018,2018,459,0.00%,31.94,1.42
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2019,2019,477,0.00%,32.06,1.34
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2020,2020,474,0.00%,31.98,1.41
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2021,2021,516,0.00%,32.08,1.37
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2022,2022,529,0.00%,31.98,1.37
Alabama,1,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2023,2023,527,0.00%,32.01,1.36
